2,1,0,0,1,0,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,0,0,0,0,0,0
1,1,0,0.000229416,1,8.17E+09,0.00119708,0.00119708,0.00119708,0.00119708,0.00119708,0.00119708,0.818731,0,0.818731,6.29E-10,0.818731,-6.29E-10
1,1,0,0.000458832,1,1.07E+09,0.00234416,0.00234416,0.00234416,0.00234416,0.00234416,0.00234416,0.818731,0,0.818731,4.83E-09,0.818731,-4.83E-09
1,1,0,0.000917663,1,1.36E+08,0.00463832,0.00463832,0.00463832,0.00463832,0.00463832,0.00463832,0.818731,0,0.818731,3.78E-08,0.818731,-3.78E-08
1,1,0,0.00183533,1,1.72E+07,0.00922663,0.00922663,0.00922663,0.00922663,0.00922663,0.00922663,0.81873,0,0.818731,2.99E-07,0.818731,-2.99E-07
1,1,0,0.00367068,1,2.16E+06,0.0184033,0.0184033,0.0184033,0.0184033,0.0184033,0.0184033,0.818727,0,0.818732,2.38E-06,0.818732,-2.38E-06
1,1,0,0.0073417,1,270937,0.0367565,0.0367565,0.0367565,0.0367565,0.0367565,0.0367565,0.818704,0,0.818744,1.90E-05,0.818744,-1.90E-05
1,1,0,0.0130807,1,48009.4,0.0654332,0.0654332,0.0654332,0.0654332,0.0654332,0.0654332,0.81858,0,0.818806,0.000107161,0.818806,-0.000107161
1,1,0,0.0188291,1,16143.1,0.0941093,0.0941093,0.0941093,0.0941093,0.0941093,0.0941093,0.818281,0,0.818956,0.000318753,0.818956,-0.000318753
1,1,0,0.0245968,1,7275.94,0.122784,0.122784,0.122784,0.122784,0.122784,0.122784,0.817733,0,0.81923,0.000707451,0.81923,-0.000707451
1,1,0,0.0303971,1,3883.2,0.151457,0.151457,0.151457,0.151457,0.151457,0.151457,0.816862,0,0.819666,0.00132625,0.819666,-0.00132625
1,1,0,0.0362469,1,2314.36,0.180126,0.180126,0.180126,0.180126,0.180126,0.180126,0.815596,0,0.820299,0.00222701,0.820299,-0.00222701
1,1,0,0.0421664,1,1491.27,0.208791,0.208791,0.208791,0.208791,0.208791,0.208791,0.813869,0,0.821165,0.00345984,0.821165,-0.00345984
1,1,0,0.0481798,1,1018.58,0.237449,0.237449,0.237449,0.237449,0.237449,0.237449,0.811617,0,0.822295,0.00507246,0.822295,-0.00507246
1,1,0,0.0543143,1,728.009,0.266098,0.266098,0.266098,0.266098,0.266098,0.266098,0.808785,0,0.823719,0.0071094,0.823719,-0.0071094
1,1,0,0.0606011,1,539.657,0.294736,0.294736,0.294736,0.294736,0.294736,0.294736,0.805326,0,0.825461,0.00961121,0.825461,-0.00961121
1,1,0,0.0670745,1,412.256,0.323361,0.323361,0.323361,0.323361,0.323361,0.323361,0.801202,0,0.827542,0.0126135,0.827542,-0.0126135
1,1,0,0.0737728,1,323.021,0.351968,0.351968,0.351968,0.351968,0.351968,0.351968,0.796388,0,0.829979,0.0161462,0.829979,-0.0161462
1,1,0,0.0807375,1,258.671,0.380554,0.380554,0.380554,0.380554,0.380554,0.380554,0.790868,0,0.832782,0.0202325,0.832782,-0.0202325
1,1,0,0.0880137,1,211.107,0.409115,0.409115,0.409115,0.409115,0.409115,0.409115,0.784642,0,0.835956,0.024888,0.835956,-0.024888
1,1,0,0.0956498,1,175.197,0.437643,0.437643,0.437643,0.437643,0.437643,0.437643,0.777722,0,0.839499,0.0301203,0.839499,-0.0301203
1,1,0,0.103698,1,147.585,0.466135,0.466135,0.466135,0.466135,0.466135,0.466135,0.770135,0,0.843402,0.0359281,0.843402,-0.0359281
1,1,0,0.112213,1,126.011,0.49458,0.49458,0.49458,0.49458,0.49458,0.49458,0.761916,0,0.847653,0.0423009,0.847653,-0.0423009
1,1,0,0.121253,1,108.915,0.522972,0.522972,0.522972,0.522972,0.522972,0.522972,0.753118,0,0.852231,0.0492188,0.852231,-0.0492188
1,1,0,0.13088,1,95.1978,0.5513,0.5513,0.5513,0.5513,0.5513,0.5513,0.743798,0,0.857112,0.0566529,0.857112,-0.0566529
1,1,0,0.141156,1,84.0689,0.579551,0.579551,0.579551,0.579551,0.579551,0.579551,0.734025,0,0.862268,0.0645649,0.862268,-0.0645649
1,1,0,0.152149,1,74.9503,0.607712,0.607712,0.607712,0.607712,0.607712,0.607712,0.723873,0,0.867666,0.0729085,0.867666,-0.0729085
1,1,0,0.163924,1,67.4126,0.635768,0.635768,0.635768,0.635768,0.635768,0.635768,0.713419,0,0.873273,0.0816298,0.873273,-0.0816298
1,1,0,0.17655,1,61.1324,0.6637,0.6637,0.6637,0.6637,0.6637,0.6637,0.702743,0,0.879054,0.0906687,0.879054,-0.0906687
1,1,0,0.190095,1,55.8626,0.691488,0.691488,0.691488,0.691488,0.691488,0.691488,0.691924,0,0.884972,0.0999599,0.884972,-0.0999599
1,1,0,0.204627,1,51.4126,0.719109,0.719109,0.719109,0.719109,0.719109,0.719109,0.681037,0,0.890994,0.109435,0.890994,-0.109435
1,1,0,0.220211,1,47.6336,0.746539,0.746539,0.746539,0.746539,0.746539,0.746539,0.670158,0,0.897086,0.119023,0.897086,-0.119023
1,1,0,0.236909,1,44.4082,0.773749,0.773749,0.773749,0.773749,0.773749,0.773749,0.659351,0,0.903216,0.128653,0.903216,-0.128653
1,1,0,0.254779,1,41.643,0.80071,0.80071,0.80071,0.80071,0.80071,0.80071,0.64868,0,0.909356,0.138256,0.909356,-0.138256
1,1,0,0.273871,1,39.2631,0.82739,0.82739,0.82739,0.82739,0.82739,0.82739,0.638198,0,0.91548,0.147766,0.91548,-0.147766
